text,n
assessments,51
dodoma,46
assessment,42
dodoma,34
effects,29
fish,24
growth,23
district,22
assesment,21
municipal,19
among,13
lake,13
species,13
dar,12
plants,12
water,12
around,11
es,11
manure,11
rate,11
udom,11
factors,10
maize,10
region,10
activity,9
human,9
production,9
women,9
comparison,8
effects,8
abundance,8
aquaculture,8
bacteria,8
chicken,8
disease,8
diversity,8
fisheries,8
victoria,8
antimicrobial,7
associated,7
cattle,7
cnms,7
district,7
food,7
iringa,7
malaria,7
mtera,7
salaam,7
university,7
using,7
yield,7
along,6
anopheles,6
catfish,6
children,6
common,6
control,6
diseases,6
hospital,6
impacts,6
infections,6
leaves,6
local,6
milk,6
quality,6
relationship,6
students,6
tilapia,6
ward,6
contribution,5
determination,5
prevalence,5
activities,5
awareness,5
cnms,5
different,5
fertilizer,5
fishing,5
forest,5
gambiae,5
life,5
livestock,5
market,5
natural,5
pollution,5
pregnant,5
productivity,5
selected,5
small,5
study,5
transmission,5
village,5
investigation,4
area,4
bacterial,4
"bagamoyo"",",4
coastal,4
effect,4
environmental,4
farm,4
feeds,4
fish,4
foods,4
health,4
hepatitis,4
increase,4
mafinga,4
microbial,4
mosquito,4
non,4
nutrients,4
organic,4
tanzania,4
urinary,4
use,4
assesments,3
assessing,3
acceptability,3
affecting,3
antifungal,3
aquatic,3
areas,3
arusha,3
assessment,3
availability,3
available,3
bahi,3
beans,3
bee,3
biodiversity,3
busega,3
case,3
cause,3
chenene,3
chicken,3
city,3
coli,3
college,3
communicable,3
communities,3
contamination,3
covid,3
diabetes,3
effectiveness,3
farmers,3
fecundity,3
found,3
fruit,3
goats,3
hill,3
ilemela,3
impact,3
infection,3
insects,3
intestinal,3
living,3
loss,3
male,3
malnutrition,3
management,3
managements,3
mbeya,3
meat,3
microbes,3
mpwapwa,3
multiplication,3
nile,3
oil,3
parasites,3
patients,3
perfomance,3
pesticide,3
plant,3
practice,3
prevalence,3
products,3
protein,3
relation,3
risk,3
sabasaba,3
salaam,3
sao,3
shelf,3
social,3
soil,3
source,3
soybean,3
spread,3
staphylococcus,3
temeke,3
test,3
tract,3
tvla,3
typhoid,3
urban,3
urine,3
waste,3
zoonotic,3
zuzu,3
antibacterial,2
asessment,2
assesssments,2
challenges,2
consumer,2
current,2
evaluation,2
isolation,2
prevelence,2
retrospective,2
affect,2
agaisnt,2
age,2
aloe,2
alternative,2
amongs,2
animal,2
animals,2
artisanal,2
attending,2
aureus,2
babati,2
bean,2
birth,2
blood,2
butterfly,2
candida,2
carbon,2
challenges,2
change,2
chato,2
chickens,2
climate,2
coccidiosis,2
community,2
consumer,2
consumption,2
controlling,2
corona,2
current,2
decline,2
decomposed,2
demand,2
development,2
distribution,2
due,2
duwasa,2
economic,2
"ecosystem"",",2
efefcts,2
effectivness,2
efficiency,2
escherichia,2
exstences,2
extract,2
facing,2
farming,2
feeding,2
fever,2
fingerlings,2
fishes,2
five,2
flower,2
flowers,2
forest,2
fresh,2
frugiperda,2
fungal,2
fungi,2
gram,2
growth,2
habits,2
hirta,2
hospital,2
hospitals,2
hybrids,2
importance,2
important,2
influencing,2
inorganic,2
insect,2
insecticide,2
invasive,2
kahama,2
keeping,2
kigurunyembe,2
kunduchi,2
laam,2
land,2
large,2
larvae,2
leguminous,2
locally,2
mangrove,2
manicipal,2
market,2
marketing,2
mbeya,2
measures,2
method,2
methods,2
microbes,2
microplastic,2
moina,2
mosquitoes,2
mtwara,2
"municipality"",",2
musoma,2
nature,2
neem,2
nets,2
nutritional,2
organisms,2
ornamental,2
pangani,2
people,2
perch,2
performance,2
phytoplankton,2
pig,2
pinda,2
plastic,2
pond,2
population,2
post,2
preference,2
preservation,2
produced,2
protected,2
public,2
pyrethrum,2
regions,2
related,2
"reserve"",",2
results,2
richness,2
scale,2
school,2
sea,2
season,2
seeds,2
shelflife,2
"shinyanga"",",2
socioeconomic,2
spodoptera,2
status,2
street,2
sun,2
supplimented,2
"system"",",2
tanga,2
tanzania,2
temperature,2
terms,2
trends,2
tuberculosis,2
ujasi,2
uluguru,2
"unit"",",2
"university"",",2
used,2
uti,2
various,2
vector,2
vegetation,2
"victoria"",",2
viral,2
virus,2
weeds,2
womens,2
"zanzibar"",",2
"
""assesment",1
"
""assesments",1
"
""asssessments",1
"
""comperative",1
"
""current",1
"
""dertermination",1
"
""dertermints",1
"
""detection",1
"
""determination",1
"
""distribution",1
"
""impact",1
"
""phytoplankkton",1
"
""seaweed",1
"""acessing",1
"""allelopathic",1
"""analysis",1
"""anatomical",1
"""antimicrobial",1
"""antmicrobial",1
"""asssessments",1
"""bioassay",1
"""biology",1
"""biopotency",1
"""comparative",1
"""comparing",1
"""detremination",1
"""diagnosis",1
"""distribution",1
"""efficiency",1
"""eliminating",1
"""estimating",1
"""examination",1
"""extent",1
"""extinction",1
"""growth",1
"""hand",1
"""high",1
"""improvement",1
"""influences",1
"""influnces",1
"""inhibition",1
"""knowledge",1
"""lack",1
"""larvicidal",1
"""magot",1
"""negative",1
"""performance",1
"""postharvest",1
"""preparation",1
"""prevarence",1
"""production",1
"""quantification",1
"""synegistic",1
"""use",1
ab,1
"abattoir"",",1
abiotic,1
abortion,1
"abundance"",",1
academic,1
accelearate,1
access,1
accrued,1
acneinducing,1
"acnes"",",1
action,1
activated,1
"activities"",",1
added,1
adoption,1
affected,1
affects,1
african,1
aged,1
agent,1
agricultural,1
agriculture,1
"albicans"",",1
algal,1
alien,1
alleviation,1
amaranth,1
ammonia,1
amongst,1
amount,1
analysis,1
angiosperms,1
anntimicrobial,1
anopheres,1
antestia,1
anthers,1
anthracnose,1
anthropogenic,1
anti,1
antibiotic,1
aphids,1
aphthoviruse,1
application,1
aquacuture,1
araucaria,1
archyranthes,1
"area"",",1
army,1
arounds,1
artemia,1
artificial,1
artimesia,1
arusha,1
aspara,1
aspect,1
attitude,1
attribute,1
average,1
avitaminosis,1
avocado,1
awareeness,1
awarness,1
azadirachta,1
bacteriaecoli,1
bacterium,1
bags,1
bait,1
baitfish,1
barbadensia,1
barries,1
"bay"",",1
beaches,1
beekeping,1
beetles,1
behaviour,1
benefits,1
benjamin,1
better,1
bettles,1
biaharamulo,1
bidens,1
bilharzia,1
"biology"",",1
biotic,1
bmu,1
bober,1
"bodies"",",1
boiling,1
born,1
borns,1
boviscbs,1
brassica,1
breast,1
brime,1
broiller,1
brought,1
brucellosis,1
bugs,1
business,1
butimba,1
butterflies,1
c,1
"c(""assessments",1
cabbages,1
cafteria,1
cage,1
cake,1
can,1
canum,1
capability,1
card,1
care,1
carica,1
cassava,1
castor,1
casues,1
"catfish"",",1
catttle,1
causative,1
causavative,1
causes,1
causing,1
cavia,1
cellphones,1
"centre"",",1
chamwino,1
changes,1
characteriction,1
characterization,1
chemical,1
chemistry,1
chiken,1
chikens,1
"children"",",1
chlorophyll,1
cholera,1
chromatographic,1
"chss"",",1
ciprofloxacin,1
circulating,1
circumstance,1
city,1
class,1
cleome,1
climatic,1
"cnmsudom"",",1
cob,1
coins,1
coliform,1
columnalis,1
commercial,1
communis,1
complementary,1
complesx,1
composition,1
"compounds"",",1
comppared,1
conatmination,1
concentaration,1
concentrations,1
concrete,1
conservation,1
conserving,1
consumers,1
contamiantion,1
continue,1
contributing,1
contributioin,1
contribution,1
cost,1
costal,1
cow,1
crop,1
crops,1
"crops"",",1
cross,1
cultivation,1
culture,1
curcuma,1
"curdtofu"",",1
curing,1
currecy,1
cystercus,1
cytotoxicity,1
dam,1
"dam"",",1
"dams"",",1
"daressalaam"",",1
data,1
dealth,1
dection,1
delay,1
destruction,1
developments,1
"developments"",",1
diagnostic,1
diarrhea,1
diery,1
dietary,1
diets,1
difference,1
differents,1
diifferent,1
diistribution,1
"diseases"",",1
diseease,1
dish,1
distrct,1
"districtmwanza"",",1
districts,1
distubance,1
"dodoam"",",1
domestic,1
donating,1
donors,1
drosophila,1
drumstick,1
dry,1
drying,1
dung,1
dynamics,1
e,1
ealry,1
eating,1
eccology,1
ecological,1
ecosystem,1
education,1
effecients,1
effectivnes,1
effetiveness,1
efficacy,1
efficancy,1
egg,1
"eggs"",",1
eggshel,1
emetica,1
endemic,1
endoparasite,1
enhancing,1
eniromental,1
enriching,1
entrace,1
enviromental,1
environments,1
"environments"",",1
esbl,1
especially,1
essential,1
establishment,1
ethird,1
euphorbia,1
examine,1
extaract,1
extensive,1
extraction,1
factor,1
"factors"",",1
falciparum,1
fall,1
"farm"",",1
farmed,1
farmer,1
farms,1
farmyard,1
fasciola,1
fasteners,1
fecal,1
feed,1
feri,1
fertility,1
fertilizers,1
"fillets"",",1
fire,1
fisheating,1
"fishmeal"",",1
fluctuation,1
fly,1
foenum,1
foot,1
fruits,1
"fry"",",1
frying,1
fungicide,1
gambia,1
garain,1
gastro,1
gauge,1
gears,1
genetiaclly,1
gentamycin,1
ghost,1
ginger,1
"gland"",",1
glycine,1
gpa,1
grade,1
graecum,1
grain,1
grapes,1
graveolens,1
grazing,1
grinded,1
grindedpowdered,1
grist,1
ground,1
group,1
groups,1
growrth,1
grubs,1
guinea,1
gungu,1
habitats,1
haidom,1
hair,1
handlesknobs,1
haplochromine,1
hardness,1
harvest,1
harvested,1
harvesting,1
hatched,1
hatching,1
hay,1
hazards,1
helath,1
helicobacter,1
hellminths,1
hepatica,1
herbaceous,1
herbicide,1
high,1
hispanica,1
hiv,1
hivaids,1
holders,1
honey,1
hormonal,1
hormone,1
housefly,1
huamnity,1
hybrid,1
hygiene,1
hygine,1
identifaication,1
identification,1
identifying,1
idodi,1
ilala,1
illegal,1
immune,1
implementing,1
impress,1
improved,1
improvements,1
income,1
increasing,1
indica,1
indoor,1
industrial,1
infectious,1
infestans,1
influences,1
informatics,1
injury,1
insceticides,1
"insectcide"",",1
insecticidal,1
inshore,1
inspection,1
inster,1
intake,1
"intensities"",",1
intensity,1
internal,1
interstinal,1
introduction,1
invasion,1
inventory,1
invertebrates,1
involvement,1
involvements,1
inyonga,1
iringa,1
"juice"",",1
juices,1
juvenile,1
kagongo,1
kama,1
katosho,1
kiela,1
kigoma,1
"kigoma"",",1
kikuyu,1
kilimandischaricum,1
"kilimanjaro"",",1
killing,1
kilolo,1
kondoa,1
kongowe,1
kongwa,1
korogwe,1
"kunduchi"",",1
laboaratory,1
lack,1
lactating,1
landed,1
larvae,1
latrines,1
lead,1
leaf,1
lengthweight,1
lepidoptera,1
levels,1
light,1
listening,1
live,1
lizards,1
loacal,1
longa,1
longline,1
losses,1
lovestock,1
lushoto,1
"lyamungo"",",1
mabamba,1
majengo,1
major,1
makebe,1
makole,1
malls,1
mammalsin,1
manegments,1
mangoes,1
manicipal,1
"manicipality"",",1
maritima,1
markets,1
masasi,1
material,1
materials,1
mathematical,1
mature,1
max,1
mbegani,1
"meal"",",1
medicinal,1
melanogaster,1
men,1
methodsmoking,1
migoli,1
miller,1
mineral,1
"minicipal"",",1
miscarriage,1
mizengo,1
mkapa,1
mkimbize,1
mlele,1
mlingotini,1
mloganzila,1
mlowa,1
mmoja,1
mnazi,1
modified,1
molecular,1
monkey,1
monosex,1
months,1
moringa,1
morogoro,1
"morogorogotanzania"",",1
moshi,1
mother,1
mothers,1
mouth,1
mufindi,1
muheza,1
muhimbili,1
municipality,1
"municiparity"",",1
music,1
mwananyamala,1
"mwanza"",",1
"NA,",1
national,1
needs,1
negative,1
nerium,1
net,1
nghongona,1
ngongona,1
"niloticus"",",1
nitrogenous,1
"njombe"",",1
nkome,1
nkuhungu,1
notes,1
ntyuka,1
nutrion,1
nutrional,1
nutrirional,1
nutrition,1
"nutrition"",",1
nyamagana,1
nyambiti,1
"nyasa"",",1
nyegezi,1
ocimum,1
octopus,1
ofanethum,1
offal,1
offshore,1
old,1
oldonyosambu,1
oleander,1
oleifera,1
oleracea,1
olyset,1
operation,1
optinal,1
options,1
orange,1
order,1
oreochromis,1
organism,1
osimum,1
outdoor,1
ovatide,1
oxydative,1
pandemic,1
papaya,1
parameters,1
parasite,1
parasitic,1
"park"",",1
particulary,1
partners,1
passing,1
past,1
pastor,1
pastoralist,1
pasture,1
pathogenic,1
pathogens,1
pattterns,1
peasants,1
peels,1
pelagics,1
penicilin,1
peper,1
perceived,1
perceved,1
perfermance,1
perma,1
pests,1
phaseolus,1
physiological,1
phytochemical,1
phytophthora,1
phytoplanktons,1
pigs,1
pilosa,1
pituitary,1
"plants"",",1
plasmodium,1
plot,1
plus,1
point,1
pollinataor,1
pollutants,1
"porcellus"")",1
positive,1
possed,1
postmortem,1
potential,1
potentials,1
poultry,1
poutry,1
poverty,1
powder,1
practising,1
pre,1
pregnancy,1
pregnants,1
premature,1
prepaed,1
prepared,1
presences,1
"preservation"",",1
preserved,1
pressure,1
prevalance,1
prevelance,1
prevelence,1
prevention,1
preverence,1
proceed,1
processing,1
producing,1
productivty,1
profile,1
propagation,1
properties,1
property,1
propionibacterium,1
proprties,1
prospective,1
protection,1
"pylori"",",1
"quality"",",1
rabbit,1
rabits,1
railway,1
"rainseason"",",1
rapid,1
raw,1
rearded,1
recirculating,1
red,1
reduce,1
refregirator,1
region,1
regular,1
relative,1
remove,1
repellants,1
reptiles,1
resdence,1
reserved,1
reservemorogoro,1
resistance,1
resistansivity,1
resistant,1
resources,1
"resources"",",1
ricinus,1
rivers,1
rodent,1
roles,1
rungwe,1
ruthelan,1
safe,1
"saldines"",",1
saline,1
salmonella,1
salmonellosis,1
salting,1
salvia,1
samosa,1
sanification,1
sardina,1
sciences,1
"scinces"",",1
se,1
seaweed,1
secondary,1
sediment,1
sediments,1
seed,1
selian,1
semi,1
senna,1
sensitivity,1
"seregenti"",",1
serengeti,1
seroneraserengeti,1
services,1
set,1
sexual,1
shared,1
sheep,1
shinyanga,1
shopping,1
shrime,1
siamea,1
sibling,1
"singida"",",1
sink,1
slabs,1
slaughter,1
slaugtered,1
smoked,1
smoking,1
snd,1
soap,1
socieal,1
"societies"",",1
society,1
softness,1
sold,1
solid,1
songea,1
sorrounding,1
soya,1
spacing,1
spartial,1
"species"",",1
specifically,1
"spices"",",1
spinacia,1
stake,1
standard,1
standards,1
sting,1
stingless,1
stress,1
studying,1
style,1
subsequent,1
succeptibility,1
suitability,1
sumbawanga,1
sunflower,1
supermale,1
supplimentary,1
surface,1
susceptibility,1
sustainability,1
synthetic,1
system,1
sythetic,1
taboos,1
tabora,1
"tanga"",",1
"tanganyika"",",1
tanks,1
tanzanian,1
"tawiri"",",1
tb,1
techniques,1
terrestial,1
threats,1
ticks,1
toilet,1
tomato,1
towadrs,1
towads,1
towards,1
"town"",",1
toxic,1
toxins,1
trade,1
traders,1
transmitted,1
"transports"",",1
treated,1
treatment,1
treatments,1
trees,1
trichilia,1
trigonella,1
tubifex,1
tumbi,1
turtles,1
two,1
type,1
typhod,1
udom,1
unhybrid,1
"uti"",",1
uyole,1
vaccine,1
variation,1
varierties,1
vegetable,1
vegetables,1
velvet,1
venders,1
vendors,1
vera,1
vertebrates,1
viability,1
vinegar,1
vines,1
virtual,1
viruses,1
visitors,1
vitro,1
"vitro"",",1
vulgaris,1
vulnarable,1
vulnearability,1
"water"",",1
weight,1
wellbeing,1
wells,1
western,1
wet,1
wild,1
woman,1
workes,1
worm,1
"worms"",",1
xy,1
years,1
"yield"",",1
yolk,1
young,1
youth,1
ythe,1
yy,1
zone,1
"zone"",",1
